ConcatUF+Mun;IBGE;IBGE7;UF;Município;Região;População 2010;Porte;Capital;
PBAlgodão de Jandaíra;250057;2500577;PB;Algodão de Jandaíra;Região Nordeste;2366;Pequeno I;;
PBAlhandra;250060;2500601;PB;Alhandra;Região Nordeste;18007;Pequeno I;;
PBSão João do Rio do Peixe;250070;2500700;PB;São João do Rio do Peixe;Região Nordeste;18201;Pequeno I;;
PBAmparo;250073;2500734;PB;Amparo;Região Nordeste;2088;Pequeno I;;
PBAparecida;250077;2500775;PB;Aparecida;Região Nordeste;7676;Pequeno I;;
PBAraçagi;250080;2500809;PB;Araçagi;Região Nordeste;17224;Pequeno I;;
PBArara;250090;2500908;PB;Arara;Região Nordeste;12653;Pequeno I;;
PBAraruna;250100;2501005;PB;Araruna;Região Nordeste;18879;Pequeno I;;
PBAreia;250110;2501104;PB;Areia;Região Nordeste;23829;Pequeno II;;
PBAreia de Baraúnas;250115;2501153;PB;Areia de Baraúnas;Região Nordeste;1927;Pequeno I;;
PBAreial;250120;2501203;PB;Areial;Região Nordeste;6470;Pequeno I;;
PBAroeiras;250130;2501302;PB;Aroeiras;Região Nordeste;19082;Pequeno I;;
PBAssunção;250135;2501351;PB;Assunção;Região Nordeste;3522;Pequeno I;;
PBBaía da Traição;250140;2501401;PB;Baía da Traição;Região Nordeste;8012;Pequeno I;;
PBBananeiras;250150;2501500;PB;Bananeiras;Região Nordeste;21851;Pequeno II;;
PBBaraúna;250153;2501534;PB;Baraúna;Região Nordeste;4220;Pequeno I;;
PBBarra de Santana;250157;2501575;PB;Barra de Santana;Região Nordeste;8206;Pequeno I;;
PBBarra de Santa Rosa;250160;2501609;PB;Barra de Santa Rosa;Região Nordeste;14157;Pequeno I;;
PBBarra de São Miguel;250170;2501708;PB;Barra de São Miguel;Região Nordeste;5611;Pequeno I;;
PBBayeux;250180;2501807;PB;Bayeux;Região Nordeste;99716;Médio;;
PBBelém;250190;2501906;PB;Belém;Região Nordeste;17093;Pequeno I;;
PBBelém do Brejo do Cruz;250200;2502003;PB;Belém do Brejo do Cruz;Região Nordeste;7143;Pequeno I;;
PBBernardino Batista;250205;2502052;PB;Bernardino Batista;Região Nordeste;3075;Pequeno I;;
PBBoa Ventura;250210;2502102;PB;Boa Ventura;Região Nordeste;5751;Pequeno I;;
PBBoa Vista;250215;2502151;PB;Boa Vista;Região Nordeste;6227;Pequeno I;;
PBBom Jesus;250220;2502201;PB;Bom Jesus;Região Nordeste;2400;Pequeno I;;
PBBom Sucesso;250230;2502300;PB;Bom Sucesso;Região Nordeste;5035;Pequeno I;;
PBBonito de Santa fé;250240;2502409;PB;Bonito de Santa fé;Região Nordeste;10804;Pequeno I;;
PBBoqueirão;250250;2502508;PB;Boqueirão;Região Nordeste;16888;Pequeno I;;
PBIgaracy;250260;2502607;PB;Igaracy;Região Nordeste;6156;Pequeno I;;
PBBorborema;250270;2502706;PB;Borborema;Região Nordeste;5111;Pequeno I;;
PBBrejo do Cruz;250280;2502805;PB;Brejo do Cruz;Região Nordeste;13123;Pequeno I;;
PBBrejo Dos Santos;250290;2502904;PB;Brejo Dos Santos;Região Nordeste;6198;Pequeno I;;
PBCaaporã;250300;2503001;PB;Caaporã;Região Nordeste;20362;Pequeno II;;
PBCabaceiras;250310;2503100;PB;Cabaceiras;Região Nordeste;5035;Pequeno I;;
PBCabedelo;250320;2503209;PB;Cabedelo;Região Nordeste;57944;Médio;;
PBCachoeira Dos Índios;250330;2503308;PB;Cachoeira Dos Índios;Região Nordeste;9546;Pequeno I;;
PBCacimba de Areia;250340;2503407;PB;Cacimba de Areia;Região Nordeste;3557;Pequeno I;;
PBCacimba de Dentro;250350;2503506;PB;Cacimba de Dentro;Região Nordeste;16748;Pequeno I;;
PBCacimbas;250355;2503555;PB;Cacimbas;Região Nordeste;6814;Pequeno I;;
PBCaiçara;250360;2503605;PB;Caiçara;Região Nordeste;7220;Pequeno I;;
PBCajazeiras;250370;2503704;PB;Cajazeiras;Região Nordeste;58446;Médio;;
PBCajazeirinhas;250375;2503753;PB;Cajazeirinhas;Região Nordeste;3033;Pequeno I;;
PBCaldas Brandão;250380;2503803;PB;Caldas Brandão;Região Nordeste;5637;Pequeno I;;
PBCamalaú;250390;2503902;PB;Camalaú;Região Nordeste;5749;Pequeno I;;
PBCampina Grande;250400;2504009;PB;Campina Grande;Região Nordeste;385213;Grande;;
PBCapim;250403;2504033;PB;Capim;Região Nordeste;5601;Pequeno I;;
PBCaraúbas;250407;2504074;PB;Caraúbas;Região Nordeste;3899;Pequeno I;;
PBCarrapateira;250410;2504108;PB;Carrapateira;Região Nordeste;2378;Pequeno I;;
PBCasserengue;250415;2504157;PB;Casserengue;Região Nordeste;7058;Pequeno I;;
PBCatingueira;250420;2504207;PB;Catingueira;Região Nordeste;4812;Pequeno I;;
PBCatolé do Rocha;250430;2504306;PB;Catolé do Rocha;Região Nordeste;28759;Pequeno II;;
PBCaturité;250435;2504355;PB;Caturité;Região Nordeste;4543;Pequeno I;;
PBConceição;250440;2504405;PB;Conceição;Região Nordeste;18363;Pequeno I;;
PBCondado;250450;2504504;PB;Condado;Região Nordeste;6584;Pequeno I;;
PBConde;250460;2504603;PB;Conde;Região Nordeste;21400;Pequeno II;;
PBCongo;250470;2504702;PB;Congo;Região Nordeste;4687;Pequeno I;;
PBCoremas;250480;2504801;PB;Coremas;Região Nordeste;15149;Pequeno I;;
PBCoxixola;250485;2504850;PB;Coxixola;Região Nordeste;1771;Pequeno I;;
PBCruz do Espírito Santo;250490;2504900;PB;Cruz do Espírito Santo;Região Nordeste;16257;Pequeno I;;
PBCubati;250500;2505006;PB;Cubati;Região Nordeste;6866;Pequeno I;;
PBCuité;250510;2505105;PB;Cuité;Região Nordeste;19978;Pequeno I;;
PBCuitegi;250520;2505204;PB;Cuitegi;Região Nordeste;6889;Pequeno I;;
PBCuité de Mamanguape;250523;2505238;PB;Cuité de Mamanguape;Região Nordeste;6202;Pequeno I;;
PBCurral de Cima;250527;2505279;PB;Curral de Cima;Região Nordeste;5209;Pequeno I;;
PBCurral Velho;250530;2505303;PB;Curral Velho;Região Nordeste;2505;Pequeno I;;
PBDamião;250535;2505352;PB;Damião;Região Nordeste;4900;Pequeno I;;
PBDesterro;250540;2505402;PB;Desterro;Região Nordeste;7991;Pequeno I;;
PBVista Serrana;250550;2505501;PB;Vista Serrana;Região Nordeste;3512;Pequeno I;;
PBDiamante;250560;2505600;PB;Diamante;Região Nordeste;6616;Pequeno I;;
PBDona Inês;250570;2505709;PB;Dona Inês;Região Nordeste;10517;Pequeno I;;
PBDuas Estradas;250580;2505808;PB;Duas Estradas;Região Nordeste;3638;Pequeno I;;
PBEmas;250590;2505907;PB;Emas;Região Nordeste;3317;Pequeno I;;
PBEsperança;250600;2506004;PB;Esperança;Região Nordeste;31095;Pequeno II;;
PBFagundes;250610;2506103;PB;Fagundes;Região Nordeste;11405;Pequeno I;;
PBFrei Martinho;250620;2506202;PB;Frei Martinho;Região Nordeste;2933;Pequeno I;;
PBGado Bravo;250625;2506251;PB;Gado Bravo;Região Nordeste;8376;Pequeno I;;
PBGuarabira;250630;2506301;PB;Guarabira;Região Nordeste;55326;Médio;;
PBGurinhém;250640;2506400;PB;Gurinhém;Região Nordeste;13872;Pequeno I;;
PBGurjão;250650;2506509;PB;Gurjão;Região Nordeste;3159;Pequeno I;;
PBIbiara;250660;2506608;PB;Ibiara;Região Nordeste;6031;Pequeno I;;
PBImaculada;250670;2506707;PB;Imaculada;Região Nordeste;11352;Pequeno I;;
PBIngá;250680;2506806;PB;Ingá;Região Nordeste;18180;Pequeno I;;
PBItabaiana;250690;2506905;PB;Itabaiana;Região Nordeste;24481;Pequeno II;;
PBItaporanga;250700;2507002;PB;Itaporanga;Região Nordeste;23192;Pequeno II;;
PBItapororoca;250710;2507101;PB;Itapororoca;Região Nordeste;16997;Pequeno I;;
PBItatuba;250720;2507200;PB;Itatuba;Região Nordeste;10201;Pequeno I;;
PBJacaraú;250730;2507309;PB;Jacaraú;Região Nordeste;13942;Pequeno I;;
PBJericó;250740;2507408;PB;Jericó;Região Nordeste;7538;Pequeno I;;
PBJoão Pessoa;250750;2507507;PB;João Pessoa;Região Nordeste;723515;Grande;Capital;
PBJuarez Távora;250760;2507606;PB;Juarez Távora;Região Nordeste;7459;Pequeno I;;
PBJuazeirinho;250770;2507705;PB;Juazeirinho;Região Nordeste;16776;Pequeno I;;
PBJunco do Seridó;250780;2507804;PB;Junco do Seridó;Região Nordeste;6643;Pequeno I;;
PBJuripiranga;250790;2507903;PB;Juripiranga;Região Nordeste;10237;Pequeno I;;
PBJuru;250800;2508000;PB;Juru;Região Nordeste;9826;Pequeno I;;
PBLagoa;250810;2508109;PB;Lagoa;Região Nordeste;4681;Pequeno I;;
PBLagoa de Dentro;250820;2508208;PB;Lagoa de Dentro;Região Nordeste;7370;Pequeno I;;
PBLagoa Seca;250830;2508307;PB;Lagoa Seca;Região Nordeste;25900;Pequeno II;;
PBLastro;250840;2508406;PB;Lastro;Região Nordeste;2841;Pequeno I;;
PBLivramento;250850;2508505;PB;Livramento;Região Nordeste;7164;Pequeno I;;
PBLogradouro;250855;2508554;PB;Logradouro;Região Nordeste;3942;Pequeno I;;
PBLucena;250860;2508604;PB;Lucena;Região Nordeste;11730;Pequeno I;;
PBMãe D'água;250870;2508703;PB;Mãe D´água;Região Nordeste;4019;Pequeno I;;
PBMalta;250880;2508802;PB;Malta;Região Nordeste;5613;Pequeno I;;
PBMamanguape;250890;2508901;PB;Mamanguape;Região Nordeste;42303;Pequeno II;;
PBManaíra;250900;2509008;PB;Manaíra;Região Nordeste;10759;Pequeno I;;
PBMarcação;250905;2509057;PB;Marcação;Região Nordeste;7609;Pequeno I;;
PBMari;250910;2509107;PB;Mari;Região Nordeste;21176;Pequeno II;;
PBMarizópolis;250915;2509156;PB;Marizópolis;Região Nordeste;6173;Pequeno I;;
PBMassaranduba;250920;2509206;PB;Massaranduba;Região Nordeste;12902;Pequeno I;;
PBMataraca;250930;2509305;PB;Mataraca;Região Nordeste;7407;Pequeno I;;
PBMatinhas;250933;2509339;PB;Matinhas;Região Nordeste;4321;Pequeno I;;
PBMato Grosso;250937;2509370;PB;Mato Grosso;Região Nordeste;2702;Pequeno I;;
PBMaturéia;250939;2509396;PB;Maturéia;Região Nordeste;5939;Pequeno I;;
PBMogeiro;250940;2509404;PB;Mogeiro;Região Nordeste;12491;Pequeno I;;
PBMontadas;250950;2509503;PB;Montadas;Região Nordeste;4990;Pequeno I;;
PBMonte Horebe;250960;2509602;PB;Monte Horebe;Região Nordeste;4508;Pequeno I;;
PBMonteiro;250970;2509701;PB;Monteiro;Região Nordeste;30852;Pequeno II;;
PBMulungu;250980;2509800;PB;Mulungu;Região Nordeste;9469;Pequeno I;;
PBNatuba;250990;2509909;PB;Natuba;Região Nordeste;10566;Pequeno I;;
PBNazarezinho;251000;2510006;PB;Nazarezinho;Região Nordeste;7280;Pequeno I;;
PBNova Floresta;251010;2510105;PB;Nova Floresta;Região Nordeste;10533;Pequeno I;;
PBNova Olinda;251020;2510204;PB;Nova Olinda;Região Nordeste;6070;Pequeno I;;
PBNova Palmeira;251030;2510303;PB;Nova Palmeira;Região Nordeste;4361;Pequeno I;;
PBOlho D'água;251040;2510402;PB;Olho D´água;Região Nordeste;6931;Pequeno I;;
PBOlivedos;251050;2510501;PB;Olivedos;Região Nordeste;3627;Pequeno I;;
PBOuro Velho;251060;2510600;PB;Ouro Velho;Região Nordeste;2928;Pequeno I;;
PBParari;251065;2510659;PB;Parari;Região Nordeste;1256;Pequeno I;;
PBPassagem;251070;2510709;PB;Passagem;Região Nordeste;2233;Pequeno I;;
PBPatos;251080;2510808;PB;Patos;Região Nordeste;100674;Grande;;
PBPaulista;251090;2510907;PB;Paulista;Região Nordeste;11788;Pequeno I;;
PBPedra Branca;251100;2511004;PB;Pedra Branca;Região Nordeste;3721;Pequeno I;;
PBPedra Lavrada;251110;2511103;PB;Pedra Lavrada;Região Nordeste;7475;Pequeno I;;
PBPedras de Fogo;251120;2511202;PB;Pedras de Fogo;Região Nordeste;27032;Pequeno II;;
PBPiancó;251130;2511301;PB;Piancó;Região Nordeste;15465;Pequeno I;;
PBPicuí;251140;2511400;PB;Picuí;Região Nordeste;18222;Pequeno I;;
PBPilar;251150;2511509;PB;Pilar;Região Nordeste;11191;Pequeno I;;
PBPilões;251160;2511608;PB;Pilões;Região Nordeste;6978;Pequeno I;;
PBPilõezinhos;251170;2511707;PB;Pilõezinhos;Região Nordeste;5155;Pequeno I;;
PBPirpirituba;251180;2511806;PB;Pirpirituba;Região Nordeste;10326;Pequeno I;;
PBPitimbu;251190;2511905;PB;Pitimbu;Região Nordeste;17024;Pequeno I;;
PBPocinhos;251200;2512002;PB;Pocinhos;Região Nordeste;17032;Pequeno I;;
PBPoço Dantas;251203;2512036;PB;Poço Dantas;Região Nordeste;3751;Pequeno I;;
PBPoço de José de Moura;251207;2512077;PB;Poço de José de Moura;Região Nordeste;3978;Pequeno I;;
PBPombal;251210;2512101;PB;Pombal;Região Nordeste;32110;Pequeno II;;
PBPrata;251220;2512200;PB;Prata;Região Nordeste;3854;Pequeno I;;
PBPrincesa Isabel;251230;2512309;PB;Princesa Isabel;Região Nordeste;21283;Pequeno II;;
PBPuxinanã;251240;2512408;PB;Puxinanã;Região Nordeste;12923;Pequeno I;;
PBQueimadas;251250;2512507;PB;Queimadas;Região Nordeste;41049;Pequeno II;;
PBQuixabá;251260;2512606;PB;Quixabá;Região Nordeste;1699;Pequeno I;;
PBRemígio;251270;2512705;PB;Remígio;Região Nordeste;17581;Pequeno I;;
PBPedro Régis;251272;2512721;PB;Pedro Régis;Região Nordeste;5765;Pequeno I;;
PBRiachão;251274;2512747;PB;Riachão;Região Nordeste;3266;Pequeno I;;
PBRiachão do Bacamarte;251275;2512754;PB;Riachão do Bacamarte;Região Nordeste;4264;Pequeno I;;
PBRiachão do Poço;251276;2512762;PB;Riachão do Poço;Região Nordeste;4164;Pequeno I;;
PBRiacho de Santo Antônio;251278;2512788;PB;Riacho de Santo Antônio;Região Nordeste;1722;Pequeno I;;
PBRiacho Dos Cavalos;251280;2512804;PB;Riacho Dos Cavalos;Região Nordeste;8314;Pequeno I;;
PBRio Tinto;251290;2512903;PB;Rio Tinto;Região Nordeste;22976;Pequeno II;;
PBSalgadinho;251300;2513000;PB;Salgadinho;Região Nordeste;3508;Pequeno I;;
PBSalgado de São Félix;251310;2513109;PB;Salgado de São Félix;Região Nordeste;11976;Pequeno I;;
PBSanta Cecília;251315;2513158;PB;Santa Cecília;Região Nordeste;6658;Pequeno I;;
PBSanta Cruz;251320;2513208;PB;Santa Cruz;Região Nordeste;6471;Pequeno I;;
PBSanta Helena;251330;2513307;PB;Santa Helena;Região Nordeste;5369;Pequeno I;;
PBSanta Inês;251335;2513356;PB;Santa Inês;Região Nordeste;3539;Pequeno I;;
PBSanta Luzia;251340;2513406;PB;Santa Luzia;Região Nordeste;14719;Pequeno I;;
PBSantana de Mangueira;251350;2513505;PB;Santana de Mangueira;Região Nordeste;5331;Pequeno I;;
PBSantana Dos Garrotes;251360;2513604;PB;Santana Dos Garrotes;Região Nordeste;7266;Pequeno I;;
PBSantarém;251365;2513653;PB;Santarém;Região Nordeste;2615;Pequeno I;;
PBSanta Rita;251370;2513703;PB;Santa Rita;Região Nordeste;120310;Grande;;
PBSanta Teresinha;251380;2513802;PB;Santa Teresinha;Região Nordeste;4581;Pequeno I;;
PBSanto André;251385;2513851;PB;Santo André;Região Nordeste;2638;Pequeno I;;
PBSão Bento;251390;2513901;PB;São Bento;Região Nordeste;30879;Pequeno II;;
PBSão Bentinho;251392;2513927;PB;São Bentinho;Região Nordeste;4138;Pequeno I;;
PBSão Domingos do Cariri;251394;2513943;PB;São Domingos do Cariri;Região Nordeste;2420;Pequeno I;;
PBSão Domingos de Pombal;251396;2513968;PB;São Domingos de Pombal;Região Nordeste;2855;Pequeno I;;
PBSão Francisco;251398;2513984;PB;São Francisco;Região Nordeste;3364;Pequeno I;;
PBSão João do Cariri;251400;2514008;PB;São João do Cariri;Região Nordeste;4344;Pequeno I;;
PBSão João do Tigre;251410;2514107;PB;São João do Tigre;Região Nordeste;4396;Pequeno I;;
PBSão José da Lagoa Tapada;251420;2514206;PB;São José da Lagoa Tapada;Região Nordeste;7564;Pequeno I;;
PBSão José de Caiana;251430;2514305;PB;São José de Caiana;Região Nordeste;6010;Pequeno I;;
PBSão José de Espinharas;251440;2514404;PB;São José de Espinharas;Região Nordeste;4760;Pequeno I;;
PBSão José Dos Ramos;251445;2514453;PB;São José Dos Ramos;Região Nordeste;5508;Pequeno I;;
PBSão José de Piranhas;251450;2514503;PB;São José de Piranhas;Região Nordeste;19096;Pequeno I;;
PBSão José de Princesa;251455;2514552;PB;São José de Princesa;Região Nordeste;4219;Pequeno I;;
PBSão José do Bonfim;251460;2514602;PB;São José do Bonfim;Região Nordeste;3233;Pequeno I;;
PBSão José do Brejo do Cruz;251465;2514651;PB;São José do Brejo do Cruz;Região Nordeste;1684;Pequeno I;;
PBSão José do Sabugi;251470;2514701;PB;São José do Sabugi;Região Nordeste;4010;Pequeno I;;
PBSão José Dos Cordeiros;251480;2514800;PB;São José Dos Cordeiros;Região Nordeste;3985;Pequeno I;;
PBSão Mamede;251490;2514909;PB;São Mamede;Região Nordeste;7748;Pequeno I;;
PBSão Miguel de Taipu;251500;2515005;PB;São Miguel de Taipu;Região Nordeste;6696;Pequeno I;;
PBSão Sebastião de Lagoa de Roça;251510;2515104;PB;São Sebastião de Lagoa de Roça;Região Nordeste;11041;Pequeno I;;
PBSão Sebastião do Umbuzeiro;251520;2515203;PB;São Sebastião do Umbuzeiro;Região Nordeste;3235;Pequeno I;;
PBSapé;251530;2515302;PB;Sapé;Região Nordeste;50143;Médio;;
PBSeridó;251540;2515401;PB;Seridó;Região Nordeste;10230;Pequeno I;;
PBSerra Branca;251550;2515500;PB;Serra Branca;Região Nordeste;12973;Pequeno I;;
PBSerra da Raiz;251560;2515609;PB;Serra da Raiz;Região Nordeste;3204;Pequeno I;;
PBSerra Grande;251570;2515708;PB;Serra Grande;Região Nordeste;2975;Pequeno I;;
PBSerra Redonda;251580;2515807;PB;Serra Redonda;Região Nordeste;7050;Pequeno I;;
PBSerraria;251590;2515906;PB;Serraria;Região Nordeste;6238;Pequeno I;;
PBSertãozinho;251593;2515930;PB;Sertãozinho;Região Nordeste;4395;Pequeno I;;
PBSobrado;251597;2515971;PB;Sobrado;Região Nordeste;7373;Pequeno I;;
PBSolânea;251600;2516003;PB;Solânea;Região Nordeste;26693;Pequeno II;;
PBSoledade;251610;2516102;PB;Soledade;Região Nordeste;13739;Pequeno I;;
PBSossêgo;251615;2516151;PB;Sossêgo;Região Nordeste;3169;Pequeno I;;
PBSousa;251620;2516201;PB;Sousa;Região Nordeste;65803;Médio;;
PBSumé;251630;2516300;PB;Sumé;Região Nordeste;16060;Pequeno I;;
PBCampo de Santana;251640;2516409;PB;Campo de Santana;Região Nordeste;10262;Pequeno I;;
PBTaperoá;251650;2516508;PB;Taperoá;Região Nordeste;14936;Pequeno I;;
PBTavares;251660;2516607;PB;Tavares;Região Nordeste;14103;Pequeno I;;
PBTeixeira;251670;2516706;PB;Teixeira;Região Nordeste;14153;Pequeno I;;
PBTenório;251675;2516755;PB;Tenório;Região Nordeste;2813;Pequeno I;;
PBTriunfo;251680;2516805;PB;Triunfo;Região Nordeste;9220;Pequeno I;;
PBUiraúna;251690;2516904;PB;Uiraúna;Região Nordeste;14584;Pequeno I;;
PBUmbuzeiro;251700;2517001;PB;Umbuzeiro;Região Nordeste;9298;Pequeno I;;
PBVárzea;251710;2517100;PB;Várzea;Região Nordeste;2504;Pequeno I;;
PBVieirópolis;251720;2517209;PB;Vieirópolis;Região Nordeste;5045;Pequeno I;;
PBZabelê;251740;2517407;PB;Zabelê;Região Nordeste;2075;Pequeno I;;
PEAbreu e Lima;260005;2600054;PE;Abreu e Lima;Região Nordeste;94429;Médio;;
PEAfogados da Ingazeira;260010;2600104;PE;Afogados da Ingazeira;Região Nordeste;35088;Pequeno II;;
PEAfrânio;260020;2600203;PE;Afrânio;Região Nordeste;17586;Pequeno I;;
PEAgrestina;260030;2600302;PE;Agrestina;Região Nordeste;22679;Pequeno II;;
PEÁgua Preta;260040;2600401;PE;Água Preta;Região Nordeste;33095;Pequeno II;;
PEÁguas Belas;260050;2600500;PE;Águas Belas;Região Nordeste;40235;Pequeno II;;
PEAlagoinha;260060;2600609;PE;Alagoinha;Região Nordeste;13759;Pequeno I;;
PEAliança;260070;2600708;PE;Aliança;Região Nordeste;37415;Pequeno II;;
PEAltinho;260080;2600807;PE;Altinho;Região Nordeste;22353;Pequeno II;;
PEAmaraji;260090;2600906;PE;Amaraji;Região Nordeste;21939;Pequeno II;;
PEAngelim;260100;2601003;PE;Angelim;Região Nordeste;10202;Pequeno I;;
PEAraçoiaba;260105;2601052;PE;Araçoiaba;Região Nordeste;18156;Pequeno I;;
PEAraripina;260110;2601102;PE;Araripina;Região Nordeste;77302;Médio;;
PEArcoverde;260120;2601201;PE;Arcoverde;Região Nordeste;68793;Médio;;
PEBarra de Guabiraba;260130;2601300;PE;Barra de Guabiraba;Região Nordeste;12776;Pequeno I;;
PEBarreiros;260140;2601409;PE;Barreiros;Região Nordeste;40732;Pequeno II;;
PEBelém de Maria;260150;2601508;PE;Belém de Maria;Região Nordeste;11353;Pequeno I;;
PEBelém de São Francisco;260160;2601607;PE;Belém de São Francisco;Região Nordeste;20253;Pequeno II;;
PEBelo Jardim;260170;2601706;PE;Belo Jardim;Região Nordeste;72432;Médio;;
PEBetânia;260180;2601805;PE;Betânia;Região Nordeste;12003;Pequeno I;;
PEBezerros;260190;2601904;PE;Bezerros;Região Nordeste;58668;Médio;;
PEBodocó;260200;2602001;PE;Bodocó;Região Nordeste;35158;Pequeno II;;
PEBom Conselho;260210;2602100;PE;Bom Conselho;Região Nordeste;45503;Pequeno II;;
PEBom Jardim;260220;2602209;PE;Bom Jardim;Região Nordeste;37826;Pequeno II;;
PEBonito;260230;2602308;PE;Bonito;Região Nordeste;37566;Pequeno II;;
PEBrejão;260240;2602407;PE;Brejão;Região Nordeste;8844;Pequeno I;;
PEBrejinho;260250;2602506;PE;Brejinho;Região Nordeste;7307;Pequeno I;;
PEBrejo da Madre de Deus;260260;2602605;PE;Brejo da Madre de Deus;Região Nordeste;45180;Pequeno II;;
PEBuenos Aires;260270;2602704;PE;Buenos Aires;Região Nordeste;12537;Pequeno I;;
PEBuíque;260280;2602803;PE;Buíque;Região Nordeste;52105;Médio;;
PECabo de Santo Agostinho;260290;2602902;PE;Cabo de Santo Agostinho;Região Nordeste;185025;Grande;;
PECabrobó;260300;2603009;PE;Cabrobó;Região Nordeste;30873;Pequeno II;;
PECachoeirinha;260310;2603108;PE;Cachoeirinha;Região Nordeste;18819;Pequeno I;;
PECaetés;260320;2603207;PE;Caetés;Região Nordeste;26577;Pequeno II;;
PECalçado;260330;2603306;PE;Calçado;Região Nordeste;11125;Pequeno I;;
PECalumbi;260340;2603405;PE;Calumbi;Região Nordeste;5648;Pequeno I;;
PECamaragibe;260345;2603454;PE;Camaragibe;Região Nordeste;144466;Grande;;
PECamocim de São Félix;260350;2603504;PE;Camocim de São Félix;Região Nordeste;17104;Pequeno I;;
PECamutanga;260360;2603603;PE;Camutanga;Região Nordeste;8156;Pequeno I;;
PECanhotinho;260370;2603702;PE;Canhotinho;Região Nordeste;24521;Pequeno II;;
PECapoeiras;260380;2603801;PE;Capoeiras;Região Nordeste;19593;Pequeno I;;
PECarnaíba;260390;2603900;PE;Carnaíba;Região Nordeste;18574;Pequeno I;;
PECarnaubeira da Penha;260392;2603926;PE;Carnaubeira da Penha;Região Nordeste;11782;Pequeno I;;
PECarpina;260400;2604007;PE;Carpina;Região Nordeste;74858;Médio;;
PECaruaru;260410;2604106;PE;Caruaru;Região Nordeste;314912;Grande;;
PECasinhas;260415;2604155;PE;Casinhas;Região Nordeste;13766;Pequeno I;;
PECatende;260420;2604205;PE;Catende;Região Nordeste;37820;Pequeno II;;
PECedro;260430;2604304;PE;Cedro;Região Nordeste;10778;Pequeno I;;
PEChã de Alegria;260440;2604403;PE;Chã de Alegria;Região Nordeste;12404;Pequeno I;;
PEChã Grande;260450;2604502;PE;Chã Grande;Região Nordeste;20137;Pequeno II;;
PECondado;260460;2604601;PE;Condado;Região Nordeste;24282;Pequeno II;;
PECorrentes;260470;2604700;PE;Correntes;Região Nordeste;17419;Pequeno I;;
PECortês;260480;2604809;PE;Cortês;Região Nordeste;12452;Pequeno I;;
PECumaru;260490;2604908;PE;Cumaru;Região Nordeste;17183;Pequeno I;;
PECupira;260500;2605004;PE;Cupira;Região Nordeste;23390;Pequeno II;;
PECustódia;260510;2605103;PE;Custódia;Região Nordeste;33855;Pequeno II;;
PEDormentes;260515;2605152;PE;Dormentes;Região Nordeste;16917;Pequeno I;;
PEEscada;260520;2605202;PE;Escada;Região Nordeste;63517;Médio;;
PEExu;260530;2605301;PE;Exu;Região Nordeste;31636;Pequeno II;;
PEFeira Nova;260540;2605400;PE;Feira Nova;Região Nordeste;20571;Pequeno II;;
PEFernando de Noronha;260545;2605459;PE;Fernando de Noronha;Região Nordeste;2630;Pequeno I;;
PEFerreiros;260550;2605509;PE;Ferreiros;Região Nordeste;11430;Pequeno I;;
PEFlores;260560;2605608;PE;Flores;Região Nordeste;22169;Pequeno II;;
PEFloresta;260570;2605707;PE;Floresta;Região Nordeste;29285;Pequeno II;;
PEFrei Miguelinho;260580;2605806;PE;Frei Miguelinho;Região Nordeste;14293;Pequeno I;;
PEGameleira;260590;2605905;PE;Gameleira;Região Nordeste;27912;Pequeno II;;
PEGaranhuns;260600;2606002;PE;Garanhuns;Região Nordeste;129408;Grande;;
PEGlória do Goitá;260610;2606101;PE;Glória do Goitá;Região Nordeste;29019;Pequeno II;;
PEGoiana;260620;2606200;PE;Goiana;Região Nordeste;75644;Médio;;
PEGranito;260630;2606309;PE;Granito;Região Nordeste;6855;Pequeno I;;
PEGravatá;260640;2606408;PE;Gravatá;Região Nordeste;76458;Médio;;
PEIati;260650;2606507;PE;Iati;Região Nordeste;18360;Pequeno I;;
PEIbimirim;260660;2606606;PE;Ibimirim;Região Nordeste;26954;Pequeno II;;
PEIbirajuba;260670;2606705;PE;Ibirajuba;Região Nordeste;7534;Pequeno I;;
PEIgarassu;260680;2606804;PE;Igarassu;Região Nordeste;102021;Grande;;
PEIguaraci;260690;2606903;PE;Iguaraci;Região Nordeste;11779;Pequeno I;;
PEInajá;260700;2607000;PE;Inajá;Região Nordeste;19081;Pequeno I;;
PEIngazeira;260710;2607109;PE;Ingazeira;Região Nordeste;4496;Pequeno I;;
PEIpojuca;260720;2607208;PE;Ipojuca;Região Nordeste;80637;Médio;;
PEIpubi;260730;2607307;PE;Ipubi;Região Nordeste;28120;Pequeno II;;
PEItacuruba;260740;2607406;PE;Itacuruba;Região Nordeste;4369;Pequeno I;;
PEItaíba;260750;2607505;PE;Itaíba;Região Nordeste;26256;Pequeno II;;
PEIlha de Itamaracá;260760;2607604;PE;Ilha de Itamaracá;Região Nordeste;21884;Pequeno II;;
PEItambé;260765;2607653;PE;Itambé;Região Nordeste;35398;Pequeno II;;
PEItapetim;260770;2607703;PE;Itapetim;Região Nordeste;13881;Pequeno I;;
PEItapissuma;260775;2607752;PE;Itapissuma;Região Nordeste;23769;Pequeno II;;
PEItaquitinga;260780;2607802;PE;Itaquitinga;Região Nordeste;15692;Pequeno I;;
PEJaboatão Dos Guararapes;260790;2607901;PE;Jaboatão Dos Guararapes;Região Nordeste;644620;Grande;;
